ID,SongTitle,FirstLine,Year,Songwriter,Tags,tag_id,Copyright,Lyrics,edit_flg,fav_flg
1,Above All (Like a Rose),"Above all powers, above all kings",1999,Paul Baloche and Lenny Leblanc,Love of God,21,"© 1999 Integrity`s Hosanna! Music (Admin. by Crossroad Distributors Pty. Ltd.) LenSongs Publishing (Admin. by LenSongs Publishing, Inc.)","<p>Above all powers, above all kings<br/>Above all nature and all created things<br/>Above all wisdom and all the ways of man<br/>You were here before the world began</p><p>Above all kingdoms, above all thrones,<br/>Above all wonders the world has ever known<br/>Above all wealth and treasures of the earth<br/>There's no way to measure what You're worth</p><p>Crucified, laid behind a stone<br/>You lived to die, rejected and alone<br/>Like a rose, trampled on the ground<br/>You took the fall and thought of me<br/>Above all</p>",,FALSE
2,"Adventurer Pledge, Law & Song","Adventurer Pledge, Law & Song",,,AY Emblems,2,,"<p><strong>Adventurer Pledge</strong><br/>Because Jesus loves me, I can always do my best.</p><p><br/><strong>Adventurer Law</strong><br/>1. Be obedient<br/>2. Be pure<br/>3. Be true<br/>4. Be kind<br/>5. Be respectful<br/>6. Be attentive<br/>7. Be helpful<br/>8. Be cheerful<br/>9. Be thoughtful<br/>10. Be reverent</p><p><br/><strong>Adventurer Song</strong><br/>We are Adventurers<br/>At home, at school, at play<br/>We are Adventurers<br/>We're learning everyday<br/>To be honest, kind and true<br/>To be like Jesus, through and through<br/>We are Adventurers</p>",,FALSE
3,All For Jesus,"Jesus come today, for a poor, poor man like me",,Ernie Smith,"Surrender, Salvation, Love, Jesus","41, 36, 19, 49",Copyright Information Unknown,"<p>Jesus come today, for a poor, poor man like me. <br/>Salvation come my way, my soul set free.<br/>Jesus come for all, and we must hear His call. <br/>Open up your heart today, and let it be.</p><p>Nuh matter if you t'ief, or if you dread, <br/>Of if yuh have a crown pan yuh head.<br/>Nuh matter if you have no heart at all,<br/>Jesus bring love for one and all. <br/>Sing it children. </p><p>I for Jesus, you for Jesus,<br/>All for Jesus, fall for Jesus, <br/>Come to Jesus.<br/>Jesus come for one, he come for all. </p><p>Jesus come for I, see manger where He lie.<br/>See cross where He must die, for a wretch like me. <br/>For God so loved the world, <br/>Man, woman, boy and girl.<br/>He gave His Son for you, His Son for me. </p><p>Nuh matter if you t'ief, or if you dread, <br/>Of if yuh have a crown pan yuh head.<br/>Nuh matter if you have no heart at all,<br/>Jesus bring love for one and all. <br/>Sing it children.</p><p>I for Jesus, you for Jesus,<br/>All for Jesus, fall for Jesus, <br/>Come to Jesus.<br/>Jesus come for one, he come for all. </p><p>Jesus Christ today, the same as yesterday.<br/>The one, the only way, the King for me<br/>Let it come to pass, mankind find love at last.<br/>Just as it was time past, so let it be.</p><p>No matter if&#8230;</p>",,FALSE
4,All The Way To Calvary,"All the way to Calvary, He went for me",,Unknown,"Calvary, Salvation, God's Faithfulness, Short Chorus","5, 36, 12, 39",Copyright Information Unknown,"<p>All the way to Calvary, He went for me,<br/>He went for me, He went for me.<br/><br/>All the way to Calvary, He went for me,<br/>He died to set me free<br/><br/>Although I had so many, many sins,<br/>Jesus washed them all away and He pardoned me. (x2)</p>",,FALSE
5,Alpha & Omega,You are Alpha and Omega,2005,Erasmus Mutanbira,"Majesty of God, Short Chorus, Meditation","22, 39, 23",© 2005 Integrity's Praise! Music (Admin. by Capitol CMG Publishing (IMI)),"<p>You are Alpha and Omega<br/>We worship you, oh Lord<br/>you are worthy to be praised</p><p><br/>We give you all the glory<br/>we worship you, oh Lord<br/>you are worthy to be praised</p>",,FALSE
6,Amazing Grace (My Chains are Gone),Amazing grace,2006,"Chris Tomlin, Louie Giglio, John Newton","Love of God, Salvation, Mercy, Grace","21, 36, 24, 13",© 2006 sixsteps Music (Admin. by EMI Christian Music Publishing),"<p>Amazing grace<br/>How sweet the sound<br/>That saved a wretch like me<br/>I once was lost, but now I'm found<br/>Was blind, but now I see</p><p>'Twas grace that taught my heart to fear<br/>And grace my fears relieved<br/>How precious did that grace appear<br/>The hour I first believed</p><p>Chorus:<br/>My chains are gone<br/>I've been set free<br/>My God, my Savior has ransomed me<br/>And like a flood His mercy reigns<br/>Unending love, amazing grace</p><p>The Lord has promised good to me<br/>His word my hope secures<br/>He will my shield and portion be<br/>As long as life endures</p><p>Chorus (x2)</p><p>The earth shall soon dissolve like snow<br/>The sun forbear to shine<br/>But God, who called me here below<br/>Will be forever mine<br/>Will be forever mine<br/>You are forever mine</p>",,FALSE
7,Ancient Of Days (Blessing and honour),"Blessing and honor, glory and power",1992,"Gary Sadler, Jamie Harvill",Majesty of God,22,© 1992 Integrity's Hosanna! Music (Admin. by EMI Christian Music Publishing (IMI)),"<p>Blessing and honor, glory and power, <br/>Be unto the Ancient of Days. <br/>From every nation, all of creation, <br/>Bow before the Ancient of Days </p><p>Every tongue in heaven and earth <br/>Shall declare Your glory, <br/>Every knee shall bow at Your throne, <br/>In worship, You will be exalted, oh God, <br/>And Your kingdom shall not pass away, <br/>Oh Ancient of Days. </p><p>Your kingdom shall reign over all the earth, <br/>Sing unto the Ancient of Days. <br/>For none can compare to Your matchless works, <br/>Sing unto the Ancient of Days.</p>",,FALSE
8,Ancient Words,"Holy words, long preserved",2001,Lynn DeShazo,Scripture,37,"© Copyright 2001 Integrity's Hosanna! Music (ASCAP)(c/o Integrity Media, Inc. 1000 Cody Road, Mobile, AL 36695.)","<p>Holy words long preserved<br/>for our walk in this world,<br/>They resound with God's own heart<br/>Oh, let the Ancient words impart.</p><p>Words of Life, words of Hope<br/>Give us strength, help us cope<br/>In this world, where e'er we roam<br/>Ancient words will guide us Home.</p><p>Chorus:<br/>Ancient words ever true<br/>Changing me, and changing you.<br/>We have come with open hearts<br/>Oh let the ancient words impart.</p><p>Holy words of our Faith<br/>Handed down to this age.<br/>Came to us through sacrifice<br/>Oh heed the faithful words of Christ.</p><p>Holy words long preserved<br/>For our walk in this world.<br/>They resound with God's own heart<br/>Oh let the ancient words impart.</p><p>Chorus (x4)</p><p>We have come with open hearts<br/>Oh let the ancient words impart.</p>",,FALSE
9,As the Deer Panteth for the Water,As the deer panteth for the water,1984,Marty Nystrom,"Love for God, Meditation, Refuge","20, 23, 34",© Copyright 1984 Maranatha Music (ASCAP)(admin. by Music Services),"<p>As the deer panteth for the water<br/>So my soul longeth after Thee<br/>You alone are my heart's desire<br/>And I long to worship Thee</p><p>Chorus:<br/>You alone are my strength, my shield <br/>To You alone may my spirit yield <br/>You alone are my heart's desire <br/>And I long to worship Thee </p><p>You're my friend and You are my brother<br/>Even though You are a king<br/>I love You more than any other<br/>So much more than anything </p><p>I want You more than gold or silver <br/>Only You can satisfy <br/>You alone are the real joy giver<br/>And the apple of my eye</p>",,FALSE
10,At Calvary,Years I spent in vanity and pride,,William R. Newell,"Calvary, Grace, Mercy, Short Chorus","5, 13, 24, 39",© Words: Public Domain,"<p>1<br/>Years I spent in vanity and pride<br/>Caring not my Lord was crucified<br/>Knowing not it was for me He died<br/>On Calvary<br/><br/>Chorus:<br/>Mercy there was great and grace was free<br/>Pardon there was multiplied to me<br/>There my burdened soul found liberty<br/>At Calvary<br/><br/>2 By God's Word at last my sin I learned<br/>Then I trembled at the law I'd spurned<br/>Till my guilty soul imploring turned<br/>To Calvary<br/><br/>3 Oh, the love that drew salvation's plan!<br/>Oh, the grace that brought it down to man!<br/>Oh, the mighty gulf that God did span<br/>At Calvary!<br/>&nbsp;</p>",,FALSE
11,At The Cross,"At the cross, at the cross where I first saw the light",,Unknown,"Calvary, Peace, Joy, Short Chorus","5, 26, 17, 39",Copyright Information Unknown,"<p>At the cross, at the cross where I first saw the light,<br/>And the burden of my heart rolled away,<br/>It was there by faith I received my sight,<br/>And now I am happy all the day!</p>",,FALSE
12,"AY Aim, Motto, Pledge, Song","AY Aim, Motto, Pledge, Song",,,AY Emblems,2,,"<p><strong>AY Aim</strong><br/>The Advent Message to all the world in my generation.</p><p><br/><strong>AY Motto</strong><br/>The love of Christ compels us.<br/><br/><br/><strong>AY Pledge</strong><br/>Loving the Lord Jesus, I promise to take an active part in the youth ministry of the church, doing what I can to help others, and to finish the work of the Gospel in all the world.</p><p><br/><strong>AY Song</strong><br/>Adventist youth&nbsp; are we,<br/>From every land and sea,<br/>Together we work and pray and play, in happy harmony.<br/>We have a faith to share,<br/>With others everywhere,<br/>A message of love,<br/>From God above,<br/>To show the world we care.</p>",,FALSE
13,Better Days Are Coming,Better days are coming by and by,,Jimmy Cliff,"Heaven, Caribbean","15, 48",© Universal Music Publishing Group,"<p class=""verse"">Better days are coming by and by<br/>Don't you get down hearted, don't you cry<br/>Troubles will be over, all our joys come over<br/>Better days are coming by and by</p><p class=""verse"">Don't you know better days are coming by and by<br/>Don't you get down hearted, don't you cry<br/>Sorrows will be over, all our joys come over<br/>Better days are coming by and by</p>",,FALSE
14,"Big Foot, Little Foot","Big foot, little foot",,Unknown,"Children's Songs, Unity, Short Chorus, Caribbean","6, 45, 39, 48",Copyright Information Unknown,"<p>Big foot, little foot <br/>It doesn't matter, walking on the kings highway.</p><p>Boys how you feeling?<br/>(Boys respond) We feel fine!</p><p>Girls how you feeling?<br/>(Girls respond) We feel fine!</p><p>Big foot, little foot <br/>It doesn't matter, walking on the kings highway.</p>",,FALSE
15,Bless His Holy Name (He Has Done Great Things),"Bless the Lord, O my soul",1973,Andraé Crouch,"Praise & Worship, Power of God, Short Chorus","30, 29, 39","© 1973 Bud John Songs, Inc. (Admin. by Capitol CMG Publishing)","<p>Bless the Lord, O my soul,<br/>and all that is within me,<br/>bless His holy name!</p><p>Bless the Lord, O my soul,<br/>and all that is within me,<br/>bless His holy name!</p><p>He has done great things,<br/>He has done great things,<br/>He has done great things,<br/>bless His holy name!</p>",,FALSE
16,"Born, Born, Born Again","Born, born, born again, thank God, I'm born again",,Unknown,"Born Again, Baptism, Holy Spirit, Caribbean Short Chorus","4, 3, 16, 48 39",Copyright Information Unknown,"<p class=""verse"">Born, born, born again, thank God, I'm born again (x2)<br/>I am born of the water, spirit and the blood, thank God, I'm born again (x2)</p>",,FALSE
17,Count Your Blessings,When upon life's billows you are tempest tossed,,"Jonhson Oatman, Edwin Othello Excell",Thankfulness,43,© Words: Public Domain,"<p>1<br/>When upon life's billows you are tempest tossed,<br/>When you are discouraged, thinking all is lost,<br/>Count your many blessings, name them one by one,<br/>And it will surprise you what the Lord hath done.</p><p>Chorus:<br/>Count your blessings, name them one by one;<br/>Count your blessings, see what God hath done;<br/>Count your blessings, name them one by one;<br/>Count your many blessings, see what God hath done.</p><p>2<br/>Are you ever burdened with a load of care?<br/>Does the cross seem heavy you are called to bear?<br/>Count your many blessings, ev'ry doubt will fly,<br/>And you will be singing as the days go by.</p><p>3<br/>When you look at others with their lands and gold,<br/>Think that Christ has promised you His wealth untold;<br/>Count your many blessings, money cannot buy<br/>Your reward in heaven, nor your home on high. </p><p>4<br/>So, amid the conflict, whether great or small,<br/>Do not be discouraged, God is over all;<br/>Count your many blessings, angels will attend,<br/>Help and comfort give you to your journey's end.</p>",,FALSE
18,Daniel God (Surely will deliver),Daniel God surely will deliver,,Unknown,"Faith, Power of God, God's Faithfulness, Short Chorus","10, 29, 12, 39",Copyright Information Unknown,<p>Daniel God<br/>Surely will deliver<br/>Daniel God<br/>Surely will deliver<br/>If you only look to Him by faith<br/>Daniel God<br/>Surely will deliver</p>,,FALSE
19,Deep and Wide,Deep and wide,1957,"Alfred B. Smith, Sidney E. Cox, William Cowper","Children's Songs, Living Water, Short Chorus","6, 18, 39","© 1957 New Spring (Admin. by Brentwood-Benson Music Publishing, Inc.)",<p>Deep and wide Deep and wide There's a fountain flowing deep and wide Deep and wide Deep and wide There's a fountain flowing deep and wide</p><p>Wide and deep Wide and deep There's a fountain flowing wide and deep Wide and deep Wide and deep There's a fountain flowing wide and deep</p>,,FALSE
